id;a_number;b_number;c_number;d_number;f_number;w_number;student_number
1;23763;24215;72821;80313;36778;47030;63230
2;98342;63352;39882;53577;81643;9028;79834
3;83530;15071;32078;50819;18651;69581;4077
4;85835;59089;32595;67756;22024;1658;71114
5;51209;80950;22649;34866;64517;9617;17436
6;94052;69093;39757;38673;51775;93672;83771
7;13752;67569;34106;73521;11347;20907;92469
8;54144;87733;69578;25794;22855;65998;17495
9;81722;98216;55520;51663;52965;26082;24185
10;99625;9310;96541;89721;55829;90041;88263
